,year,mat_virgin_eff,mat_massperm2,mat_MFG_eff,mat_MFG_scrap_Recycled,mat_MFG_scrap_Recycling_eff,mat_MFG_scrap_Recycled_into_HQ,mat_MFG_scrap_Recycled_into_HQ_Reused4MFG,mat_PG3_ReMFG_target,mat_ReMFG_yield,mat_PG4_Recycling_target,mat_Recycling_yield,mat_EOL_Recycled_into_HQ,mat_EOL_RecycledHQ_Reused4MFG
0,year,%,g,%,%,%,%,%,%,%,%,%,%,%
0,1995,60.0,8000.0,95.0,80.0,50.0,20.0,10.0,0.0,50.0,90.0,40.0,15.0,8.0
1,1996,60.0,8000.0,95.0,80.0,50.0,20.0,10.0,0.0,50.0,90.0,40.0,15.0,8.0
2,1997,60.0,8000.0,95.0,80.0,50.0,20.0,10.0,0.0,50.0,90.0,40.0,15.0,8.0
3,1998,60.0,8000.0,95.0,80.0,50.0,20.0,10.0,0.0,50.0,90.0,40.0,15.0,8.0
4,1999,60.0,8000.0,95.0,80.0,50.0,20.0,10.0,0.0,50.0,90.0,40.0,15.0,8.0
5,2000,60.0,8000.0,95.0,80.0,50.0,20.0,10.0,0.0,50.0,90.0,40.0,15.0,8.0
6,2001,60.0,8000.0,95.0,80.0,50.0,20.0,10.0,0.0,50.0,90.0,40.0,15.0,8.0
7,2002,60.0,8000.0,95.0,80.0,50.0,20.0,10.0,0.0,50.0,90.0,40.0,15.0,8.0
8,2003,60.0,8000.0,95.0,80.0,50.0,20.0,10.0,0.0,50.0,90.0,40.0,15.0,8.0
9,2004,60.0,8000.0,95.0,80.0,50.0,20.0,10.0,0.0,50.0,90.0,40.0,15.0,8.0
10,2005,60.0,8000.0,95.0,80.0,50.0,20.0,10.0,0.0,50.0,90.0,40.0,15.0,8.0
11,2006,60.0,8000.0,95.0,80.0,50.0,20.0,10.0,0.0,50.0,90.0,40.0,15.0,8.0
12,2007,60.0,8000.0,95.0,80.0,50.0,20.0,10.0,0.0,50.0,90.0,40.0,15.0,8.0
13,2008,60.0,8000.0,95.0,80.0,50.0,20.0,10.0,0.0,50.0,90.0,40.0,15.0,8.0
14,2009,60.0,8000.0,95.0,80.0,50.0,20.0,10.0,0.0,50.0,90.0,40.0,15.0,8.0
15,2010,60.0,8000.0,95.0,80.0,50.0,20.0,10.0,0.0,50.0,90.0,40.0,15.0,8.0
16,2011,60.0,8000.0,95.0,80.0,50.0,20.0,10.0,0.0,50.0,90.0,40.0,15.0,8.0
17,2012,60.0,8080.0,95.0,80.0,50.0,20.0,10.0,0.0,50.0,90.0,40.0,15.0,8.0
18,2013,60.0,8160.0,95.0,80.0,50.0,20.0,10.0,0.0,50.0,90.0,40.0,15.0,8.0
19,2014,60.0,8292.7,95.2,80.0,50.0,20.0,10.0,0.0,50.0,90.0,40.0,15.0,8.0
20,2015,60.0,8225.6625,95.5,80.0,50.0,20.0,10.0,0.0,50.0,90.0,40.0,15.0,8.0
21,2016,60.0,8158.8875,95.7,80.0,50.0,20.0,10.0,0.0,50.0,90.0,40.0,15.0,8.0
22,2017,60.0,8289.75,95.9,80.0,50.0,20.0,10.0,0.0,50.0,90.0,40.0,15.0,8.0
23,2018,60.0,8350.15,96.2,80.0,50.0,20.0,10.0,0.0,50.0,90.0,40.0,15.0,8.0
24,2019,60.0,8607.5,96.4,80.0,50.0,20.0,10.0,0.0,50.0,90.0,40.0,15.0,8.0
25,2020,60.0,8975.5,96.6,80.0,50.0,20.0,10.0,0.0,50.0,90.0,40.0,15.0,8.0
26,2021,60.0,9284.5875,96.9,80.0,50.0,20.0,10.0,0.0,50.0,90.0,40.0,15.0,8.0
27,2022,60.0,9626.5,97.1,80.0,50.0,20.0,10.0,0.0,50.0,90.0,40.0,15.0,8.0
28,2023,60.0,9805.45,97.4,80.0,50.0,20.0,10.0,0.0,50.0,90.0,40.0,15.0,8.0
29,2024,60.0,9977.4,97.6,80.0,50.0,20.0,10.0,0.0,50.0,90.0,40.0,15.0,8.0
30,2025,60.0,9940.2375,97.8,80.0,50.0,20.0,10.0,0.0,50.0,90.0,40.0,15.0,8.0
31,2026,60.0,9901.5,98.1,80.0,50.0,20.0,10.0,0.0,50.0,90.0,40.0,15.0,8.0
32,2027,60.0,10008.40556,98.3,80.0,50.0,20.0,10.0,0.0,50.0,90.0,40.0,15.0,8.0
33,2028,60.0,10113.40556,98.5,80.0,50.0,20.0,10.0,0.0,50.0,90.0,40.0,15.0,8.0
34,2029,60.0,10216.5,98.8,80.0,50.0,20.0,10.0,0.0,50.0,90.0,40.0,15.0,8.0
35,2030,60.0,10170.91111,99.0,80.0,50.0,20.0,10.0,0.0,50.0,90.0,40.0,15.0,8.0
36,2031,60.0,10125.01111,99.0,80.0,50.0,20.0,10.0,0.0,50.0,90.0,40.0,15.0,8.0
37,2032,60.0,10125.01111,99.0,80.0,50.0,20.0,10.0,0.0,50.0,90.0,40.0,15.0,8.0
38,2033,60.0,10125.01111,99.0,80.0,50.0,20.0,10.0,0.0,50.0,90.0,40.0,15.0,8.0
39,2034,60.0,10125.01111,99.0,80.0,50.0,20.0,10.0,0.0,50.0,90.0,40.0,15.0,8.0
40,2035,60.0,10125.01111,99.0,80.0,50.0,20.0,10.0,0.0,50.0,90.0,40.0,15.0,8.0
41,2036,60.0,10125.01111,99.0,80.0,50.0,20.0,10.0,0.0,50.0,90.0,40.0,15.0,8.0
42,2037,60.0,10125.01111,99.0,80.0,50.0,20.0,10.0,0.0,50.0,90.0,40.0,15.0,8.0
43,2038,60.0,10125.01111,99.0,80.0,50.0,20.0,10.0,0.0,50.0,90.0,40.0,15.0,8.0
44,2039,60.0,10125.01111,99.0,80.0,50.0,20.0,10.0,0.0,50.0,90.0,40.0,15.0,8.0
45,2040,60.0,10125.01111,99.0,80.0,50.0,20.0,10.0,0.0,50.0,90.0,40.0,15.0,8.0
46,2041,60.0,10125.01111,99.0,80.0,50.0,20.0,10.0,0.0,50.0,90.0,40.0,15.0,8.0
47,2042,60.0,10125.01111,99.0,80.0,50.0,20.0,10.0,0.0,50.0,90.0,40.0,15.0,8.0
48,2043,60.0,10125.01111,99.0,80.0,50.0,20.0,10.0,0.0,50.0,90.0,40.0,15.0,8.0
49,2044,60.0,10125.01111,99.0,80.0,50.0,20.0,10.0,0.0,50.0,90.0,40.0,15.0,8.0
50,2045,60.0,10125.01111,99.0,80.0,50.0,20.0,10.0,0.0,50.0,90.0,40.0,15.0,8.0
51,2046,60.0,10125.01111,99.0,80.0,50.0,20.0,10.0,0.0,50.0,90.0,40.0,15.0,8.0
52,2047,60.0,10125.01111,99.0,80.0,50.0,20.0,10.0,0.0,50.0,90.0,40.0,15.0,8.0
53,2048,60.0,10125.01111,99.0,80.0,50.0,20.0,10.0,0.0,50.0,90.0,40.0,15.0,8.0
54,2049,60.0,10125.01111,99.0,80.0,50.0,20.0,10.0,0.0,50.0,90.0,40.0,15.0,8.0
55,2050,60.0,10125.01111,99.0,80.0,50.0,20.0,10.0,0.0,50.0,90.0,40.0,15.0,8.0
