year,encapsulant.csv,total_massperm2,glass.csv,silver.csv,copper.csv
1995,0.846,8007.565376,8.0,0.088,0.005376000000000001
1996,0.846,8011.5585188571395,8.0,0.08457142857,0.005376000000000001
1997,0.846,8015.551661714279,8.0,0.08114285714000001,0.005376000000000001
1998,0.846,8019.544804571419,8.0,0.07771428571,0.005376000000000001
1999,0.846,8023.537947428581,8.0,0.07428571429,0.005376000000000001
2000,0.846,8027.4800731428595,8.0,0.04534857143,0.005376000000000001
2001,0.846,8031.475684571422,8.0,0.043154285710000004,0.005376000000000001
2002,0.846,8035.471296000001,8.0,0.04096,0.005376000000000001
2003,0.846,8039.466907428581,8.0,0.038765714289999996,0.005376000000000001
2004,0.846,8043.462518857141,8.0,0.03657142857,0.005376000000000001
2005,0.846,8047.45813028572,8.0,0.03437714286,0.005376000000000001
2006,0.846,8051.453741714279,8.0,0.03218285714,0.005376000000000001
2007,0.846,8055.449353142861,8.0,0.02998857143,0.005376000000000001
2008,0.846,8059.44496457142,8.0,0.02779428571,0.005376000000000001
2009,0.846,8063.440576000001,8.0,0.0256,0.005376000000000001
2010,0.846,8067.41403083234,8.0,0.01232741617,0.005376000000000001
2011,0.846,8071.40992169362,8.0,0.010272846810000002,0.005376000000000001
2012,0.846,8075.645812554898,8.08,0.008218277449,0.005376000000000001
2013,0.846,8079.880881588427,8.16,0.0057527942139999995,0.005376000000000001
2014,0.84809,8084.286519760683,8.2927,0.005341880342,0.005376000000000001
2015,0.8502799999999999,8088.092935765196,8.2256625,0.004520052597,0.0057881600000000005
2016,0.85281,8091.902302334018,8.1588875,0.004099757009,0.00620032
2017,0.84799,8096.276572060602,8.28975,0.0040791103010000005,0.0072038399999999995
2018,0.848955,8100.462350387647,8.35015,0.004312833823,0.00745472
2019,0.8513099999999999,8105.24429573962,8.6075,0.00414730981,0.00826112
2020,0.849445,8110.339695210889,8.9755,0.0035949654450000003,0.00822528
2021,0.80971,8115.107555137739,9.284587499999999,0.003341278869,0.00827008
2022,0.7827075,8120.024832148044,9.6265,0.003093634022,0.00831488
2023,0.778335,8124.543874287764,9.80545,0.002898863882,0.00838656
2024,0.756045,8128.970224030813,9.9774,0.002692895407,0.00845824
2025,0.720427,8132.71570181543,9.940237499999999,0.002542951049,0.008195413333
2026,0.6920926667,8136.485605777882,9.9015,0.002401262207,0.007932586667
2027,0.6802781111,8140.758532653377,10.00840556,0.002266884489,0.00766976
2028,0.6683333333,8145.025204269523,10.113405559999999,0.0021296348279999998,0.0073949866670000005
2029,0.6701973333,8149.341395099361,10.2165,0.001992776413,0.007120213332999999
2030,0.6717413333,8153.210256725617,10.170911109999999,0.001856311209,0.00684544
2031,0.6732853333000001,8157.0787327256185,10.125011109999999,0.001856311209,0.00684544
2032,0.6732853333000001,8161.0787327256185,10.125011109999999,0.001856311209,0.00684544
2033,0.6732853333000001,8165.0787327256185,10.125011109999999,0.001856311209,0.00684544
2034,0.6732853333000001,8169.0787327256185,10.125011109999999,0.001856311209,0.00684544
2035,0.6732853333000001,8173.0787327256185,10.125011109999999,0.001856311209,0.00684544
2036,0.6732853333000001,8177.0787327256185,10.125011109999999,0.001856311209,0.00684544
2037,0.6732853333000001,8181.0787327256185,10.125011109999999,0.001856311209,0.00684544
2038,0.6732853333000001,8185.0787327256185,10.125011109999999,0.001856311209,0.00684544
2039,0.6732853333000001,8189.0787327256185,10.125011109999999,0.001856311209,0.00684544
2040,0.6732853333000001,8193.07873272562,10.125011109999999,0.001856311209,0.00684544
2041,0.6732853333000001,8197.07873272562,10.125011109999999,0.001856311209,0.00684544
2042,0.6732853333000001,8201.07873272562,10.125011109999999,0.001856311209,0.00684544
2043,0.6732853333000001,8205.07873272562,10.125011109999999,0.001856311209,0.00684544
2044,0.6732853333000001,8209.07873272562,10.125011109999999,0.001856311209,0.00684544
2045,0.6732853333000001,8213.07873272562,10.125011109999999,0.001856311209,0.00684544
2046,0.6732853333000001,8217.07873272562,10.125011109999999,0.001856311209,0.00684544
2047,0.6732853333000001,8221.07873272562,10.125011109999999,0.001856311209,0.00684544
2048,0.6732853333000001,8225.07873272562,10.125011109999999,0.001856311209,0.00684544
2049,0.6732853333000001,8229.07873272562,10.125011109999999,0.001856311209,0.00684544
2050,0.6732853333000001,8233.07873272562,10.125011109999999,0.001856311209,0.00684544
