PCA,Long,Lat
p1,-121.4522522,47.82099062
p10,-117.1590386,35.12010447
p100,-78.25771359,38.79110825
p101,-82.19247661,28.70869529
p102,-80.56373053,26.67709172
p103,-84.55437763,43.57419001
p104,-85.90993949,42.06225929
p105,-86.25965362,40.72939342
p106,-86.10103966,39.94240296
p107,-86.34789005,38.87073858
p108,-87.22032662,37.49153121
p109,-84.51931615,37.83050346
p11,-116.7176058,33.03174695
p110,-82.8503912,37.37099172
p111,-81.83937601,41.28166353
p112,-82.81856565,40.17734323
p113,-83.9413805,39.78941957
p114,-84.23150769,39.20877458
p115,-79.86635294,40.37731547
p116,-80.19443111,38.8763551
p117,-81.7519919,38.05258266
p118,-80.92007066,37.06277512
p119,-78.01141702,41.3405889
p12,-116.7842291,39.59882101
p120,-77.895377,39.90665131
p121,-79.01946377,39.55126096
p122,-77.39607808,40.92107394
p123,-76.76367486,39.07725918
p124,-75.60492375,37.81184868
p125,-75.53282965,39.04284209
p126,-74.6629847,40.24746962
p127,-75.57684419,43.01255158
p128,-73.25855327,40.80291312
p129,-72.66603564,44.03042544
p13,-115.0174041,36.23284216
p130,-71.56225601,43.71401219
p131,-71.90533052,42.31304362
p132,-72.75108047,41.60246114
p133,-71.59672773,41.66667273
p134,-69.24794622,45.39211237
p14,-116.6294762,47.64818073
p15,-115.2177288,44.43004937
p16,-112.4327899,43.02868119
p17,-113.6065082,46.82138594
p18,-110.2231123,47.2494843
p19,-106.8433126,47.83744486
p2,-121.4945952,46.60869095
p20,-108.0131914,46.4465773
p21,-109.277895,43.04388094
p22,-106.7112461,44.32489043
p23,-105.0387513,44.24892369
p24,-105.8451005,42.22317644
p25,-111.9317099,39.1005072
p26,-110.3182862,40.52141335
p27,-113.7436192,35.72391313
p28,-111.6056914,34.1838784
p29,-109.516242,35.34591005
p3,-118.472439,47.92035993
p30,-111.6857101,32.04276153
p31,-106.5737299,34.6249543
p32,-103.324472,44.05773319
p33,-105.8666298,40.03368077
p34,-105.2752917,38.1055194
p35,-105.0375055,47.1804594
p36,-102.0734343,47.15958973
p37,-99.03324693,47.70645859
p38,-99.79847762,44.48283152
p39,-102.6958257,41.74325238
p4,-119.5470861,47.4129124
p40,-99.18350983,41.52161835
p41,-96.34583201,40.93518639
p42,-95.4795737,48.02901973
p43,-93.66377494,46.26358649
p44,-95.74181715,44.42138655
p45,-95.02634463,42.41935156
p46,-91.39624127,45.46791696
p47,-103.9155591,33.48134861
p48,-101.7896096,34.85870122
p49,-101.5000045,36.74873009
p5,-120.8593635,44.87742596
p50,-97.47670229,35.30086027
p51,-95.63163853,36.28372003
p52,-101.0284679,38.7673038
p53,-97.48884753,38.39197065
p54,-93.93551551,39.68010457
p55,-93.63067538,37.39648815
p56,-93.59063588,35.49289456
p57,-94.5241288,32.86217276
p58,-92.01150228,30.84054963
p59,-106.2230818,31.77308956
p6,-122.7941288,42.80834786
p60,-100.4747257,33.42197646
p61,-102.5121274,30.79490767
p62,-102.3887614,31.77998214
p63,-97.11815228,32.37182664
p64,-98.02819061,30.14290618
p65,-98.36237296,28.14593418
p66,-94.49850005,30.68456443
p67,-95.42461309,29.5703565
p68,-93.84641518,43.85294596
p69,-92.11168489,42.91269261
p7,-118.790355,43.19860125
p70,-92.68514792,41.53491879
p71,-92.01395166,39.96993092
p72,-91.3675038,38.4997353
p73,-91.06236394,37.67809039
p74,-88.25976999,46.39589899
p75,-88.88363925,45.19646292
p76,-89.11741448,44.06230241
p77,-90.49937312,43.41560313
p78,-89.33478091,42.83835582
p79,-88.23565775,43.07262373
p8,-121.4464046,41.30824779
p80,-88.79751098,41.76580781
p81,-89.78363058,39.3367648
p82,-89.52274432,40.36595616
p83,-88.32037463,39.76077104
p84,-91.29205837,37.05321965
p85,-92.02589394,34.68125955
p86,-91.92922355,32.56645631
p87,-89.94310381,32.31228173
p88,-88.95057971,33.90483098
p89,-87.33420755,33.64251888
p9,-121.4370073,38.40912626
p90,-86.45223669,32.1705336
p91,-86.0233856,30.60299528
p92,-86.38840824,35.84707003
p93,-87.70288407,36.88033989
p94,-83.44185834,32.65498374
p95,-82.05850213,34.68340161
p96,-80.47018517,33.66656218
p97,-81.46948528,35.70354545
p98,-78.0631739,35.43899188
p99,-78.02222606,37.64107262
