Recycler Name,City,Latitude,Longitude
3R Recycling,,34.220389,70.3800314
3R Recycling,,34.220389,70.3800314
Cascade Eco Minerals LLC,Joplin,37.0841838,-94.5133385
Cascade Eco Minerals LLC,Joplin,37.0841838,-94.5133385
Cleanlites  Recycling,"Mason, Michigan",43.9778831,-86.246291
Cleanlites  Recycling,"Mason, Michigan",43.9778831,-86.246291
"Closed Loop Refining And Recovery, Inc.",Phoenix,33.4484367,-112.074141
"Closed Loop Refining And Recovery, Inc.",Phoenix,33.4484367,-112.074141
cmc Recycling,Irving,32.8295183,-96.9442177
cmc Recycling,Irving,32.8295183,-96.9442177
"Dynamic Lifecycle Innovation, Wisconsin Headquarters:",Onalaska,30.805746,-95.1163261
"Dynamic Lifecycle Innovation, Wisconsin Headquarters:",Onalaska,30.805746,-95.1163261
"Echo Environmental, LLC",Carollton (Dallas),32.9518354,-96.9072286
"Echo Environmental, LLC",Carollton (Dallas),32.9518354,-96.9072286
EcoTech Recycling,"Port of Kalama, WA",46.00557395,-122.84725896017989
EcoTech Recycling,"Port of Kalama, WA",46.00557395,-122.84725896017989
Electronic Recycling & IT Asset Disposition Services,,34.220389,70.3800314
Electronic Recycling & IT Asset Disposition Services,,34.220389,70.3800314
"FabTech Enterprises, Inc.",Gilbert,33.3527632,-111.789037
"FabTech Enterprises, Inc.",Gilbert,33.3527632,-111.789037
"First Solar, Inc.",Perysburg,,
"First Solar, Inc.",Perysburg,,
Good Sun,,34.220389,70.3800314
Good Sun,,34.220389,70.3800314
Green Century Electronics Recycling,,34.220389,70.3800314
Green Century Electronics Recycling,,34.220389,70.3800314
Green Clean Solar,Marietta,33.9528472,-84.5496148
Green Clean Solar,Marietta,33.9528472,-84.5496148
Green Lights Recycling Inc.,Blaine,41.9195837,-99.979237
Green Lights Recycling Inc.,Blaine,41.9195837,-99.979237
Greenflow?,,34.220389,70.3800314
Greenflow?,,34.220389,70.3800314
"INTERCO TRADING, INC.",Madison,43.074761,-89.3837613
"INTERCO TRADING, INC.",Madison,43.074761,-89.3837613
Mitsubishi Electric,,34.220389,70.3800314
Mitsubishi Electric,,34.220389,70.3800314
"MOTIVE ENERGY, INC. (Power Solutions)",ANAHEIM,33.8347516,-117.911732
"MOTIVE ENERGY, INC. (Power Solutions)",ANAHEIM,33.8347516,-117.911732
NovaTec Recycling,,34.220389,70.3800314
NovaTec Recycling,,34.220389,70.3800314
"Recycle Technologies, Inc.",Waukesha,43.0622536,-88.3123889
"Recycle Technologies, Inc.",Waukesha,43.0622536,-88.3123889
Recycle1234,Union City,37.5872576,-122.0215737
Recycle1234,Union City,37.5872576,-122.0215737
RecyclePVSolar,Reno/Sparks,39.5333104,-119.7571469
RecyclePVSolar,Reno/Sparks,39.5333104,-119.7571469
Silicon Specialists,,34.220389,70.3800314
Silicon Specialists,,34.220389,70.3800314
Solar Recycling Experts LLC,Tehachapi,35.1321878,-118.4489739
Solar Recycling Experts LLC,Tehachapi,35.1321878,-118.4489739
SolarCycle,,34.220389,70.3800314
SolarCycle,,34.220389,70.3800314
Solarsilicon Recycling Services dba SRS,"Ventura, CA",34.4458248,-119.0779359
Solarsilicon Recycling Services dba SRS,"Ventura, CA",34.4458248,-119.0779359
Sunpower Corp,,34.220389,70.3800314
Sunpower Corp,,34.220389,70.3800314
Surplus Service,Fremont,37.5482697,-121.988571
Surplus Service,Fremont,37.5482697,-121.988571
TBF Computing Inc,,34.220389,70.3800314
TBF Computing Inc,,34.220389,70.3800314
TG Companies,,34.220389,70.3800314
TG Companies,,34.220389,70.3800314
The Retrofit Companies,,34.220389,70.3800314
The Retrofit Companies,,34.220389,70.3800314
United Electronic Recycling,"Coppell, Texas",32.9552598,-97.0155703
United Electronic Recycling,"Coppell, Texas",32.9552598,-97.0155703
United Scrap Metal,Cicero,41.8455398,-87.7540199
United Scrap Metal,Cicero,41.8455398,-87.7540199
"We Recycle Solar, Inc.",STE 300 Phoenix,45.4032051,-73.9504787
"We Recycle Solar, Inc.",STE 300 Phoenix,45.4032051,-73.9504787
"ZEEP Technology, LLC",South Hadley,42.2591392,-72.5751341
"ZEEP Technology, LLC",South Hadley,42.2591392,-72.5751341
